graph_id,is_correct,feature_14,feature_10,feature_1590,feature_45,feature_7,feature_4772,feature_88,feature_90,feature_157
1264_1_5,0,0,0,0,0,0,0,0,0,0
1264_2_0,0,0,0,0,0,0,0,0,0,0
1264_2_1,0,0,0,0,0,0,0,0,0,0
1264_2_2,0,0,0,0,0,0,0,0,0,0
1264_2_3,0,0,0,0,0,0,0,0,0,0
1264_2_4,0,0,0,0,0,0,0,0,0,0
1264_2_5,0,0,0,0,0,0,0,0,0,0
1264_3_0,0,0,0,0,0,0,0,0,0,0
1264_3_1,0,0,0,0,0,0,0,0,0,0
1264_3_2,0,0,0,0,0,0,0,0,0,0
1264_3_3,0,0,0,0,0,0,0,0,0,0
1264_3_4,0,0,0,0,0,0,0,0,0,0
1264_3_5,0,0,0,0,0,0,0,0,0,0
273_0_0,0,0,0,0,1,0,0,1,1,0
273_0_1,0,0,0,0,1,0,0,1,1,0
273_0_2,0,0,0,0,1,0,0,1,1,0
273_0_3,0,0,0,0,1,0,0,1,1,0
273_0_4,0,0,0,0,1,0,0,1,1,0
273_0_5,0,0,0,0,1,0,0,1,1,0
273_1_0,0,0,0,0,1,0,0,1,1,0
273_1_1,0,0,0,0,1,0,0,1,1,0
273_1_2,0,0,0,0,1,0,0,1,1,0
273_1_3,0,0,0,0,1,0,0,1,1,0
273_1_4,0,0,0,0,1,0,0,1,1,0
273_1_5,0,0,0,0,1,0,0,1,1,0
273_2_0,0,0,0,0,1,0,0,1,1,0
273_2_1,0,0,0,0,1,0,0,1,1,0
273_2_2,0,0,0,0,1,0,0,1,1,0
273_2_3,0,0,0,0,1,0,0,1,1,0
273_2_4,0,0,0,0,1,0,0,1,1,0
273_2_5,0,0,0,0,1,0,0,1,1,0
273_3_0,0,0,0,0,1,0,0,1,1,0
273_3_1,0,0,0,0,1,0,0,1,1,0
273_3_2,0,0,0,0,1,0,0,1,1,0
273_3_3,0,0,0,0,1,0,0,1,1,0
273_3_4,0,0,0,0,1,0,0,1,1,0
273_3_5,0,0,0,0,1,0,0,1,1,0
273_4_0,0,0,0,0,1,0,0,1,1,0
273_4_1,0,0,0,0,1,0,0,1,1,0
273_4_2,0,0,0,0,1,0,0,1,1,0
273_4_3,0,0,0,0,1,0,0,1,1,0
273_4_4,0,0,0,0,1,0,0,1,1,0
273_4_5,0,0,0,0,1,0,0,1,1,0
1281_0_0,0,1,0,0,0,0,0,0,0,0
1281_0_1,0,1,0,0,0,0,0,0,0,0
1281_0_2,0,1,0,0,0,0,0,0,0,0
1281_0_3,0,1,0,0,0,0,0,0,0,0
1281_0_4,0,1,0,0,0,0,0,0,0,0
1281_0_5,0,1,0,0,0,0,0,0,0,0
2930_0_0,0,0,1,0,0,0,0,0,0,0
2930_0_1,0,0,1,0,0,0,0,0,0,0
2930_0_2,0,0,1,0,0,0,0,0,0,0
2930_0_3,0,0,1,0,0,0,0,0,0,0
2930_0_4,0,0,1,0,0,0,0,0,0,0
