graph_id,is_correct,feature_1689,feature_834,feature_1965,feature_1685,feature_6857,feature_1984,feature_1751
515_0_13,0,1,0,0,1,1,1,0
515_0_14,0,1,0,0,1,1,1,0
515_0_15,0,1,0,0,1,1,1,0
515_0_16,0,1,0,0,1,1,1,0
515_0_17,0,1,0,0,1,1,1,0
515_0_18,0,1,0,0,1,1,1,0
515_0_19,0,1,0,0,1,1,1,0
515_0_20,0,1,0,0,1,1,1,0
515_0_21,0,1,0,0,1,1,1,0
515_0_22,0,1,0,0,1,1,1,0
515_0_23,0,1,0,0,1,1,1,0
515_0_24,0,1,0,0,1,1,1,0
515_0_25,0,1,0,0,1,1,1,0
515_1_0,0,1,0,0,1,1,1,0
515_1_1,0,1,0,0,1,1,1,0
515_1_2,0,1,0,0,1,1,1,0
515_1_3,0,1,0,0,1,1,1,0
515_1_4,0,1,0,0,1,1,1,0
515_1_5,0,1,0,0,1,1,1,0
515_1_6,0,1,0,0,1,1,1,0
515_1_7,0,1,0,0,1,1,1,0
515_1_8,0,1,0,0,1,1,1,0
515_1_9,0,1,0,0,1,1,1,0
515_1_10,0,1,0,0,1,1,1,0
515_1_11,0,1,0,0,1,1,1,0
515_1_12,0,1,0,0,1,1,1,0
515_1_13,0,1,0,0,1,1,1,0
515_1_14,0,1,0,0,1,1,1,0
515_1_15,0,1,0,0,1,1,1,0
515_1_16,0,1,0,0,1,1,1,0
515_1_17,0,1,0,0,1,1,1,0
515_1_18,0,1,0,0,1,1,1,0
515_1_19,0,1,0,0,1,1,1,0
515_1_20,0,1,0,0,1,1,1,0
515_1_21,0,1,0,0,1,1,1,0
515_1_22,0,1,0,0,1,1,1,0
515_1_23,0,1,0,0,1,1,1,0
515_1_24,0,1,0,0,1,1,1,0
515_1_25,0,1,0,0,1,1,1,0
2572_0_0,0,1,0,0,0,0,0,0
2572_0_1,0,1,0,0,0,0,0,0
2572_0_2,0,1,0,0,0,0,0,0
2572_0_3,0,1,0,0,0,0,0,0
2572_0_4,0,1,0,0,0,0,0,0
2572_0_5,0,1,0,0,0,0,0,0
2572_0_6,0,1,0,0,0,0,0,0
2572_0_7,0,1,0,0,0,0,0,0
2572_0_8,0,1,0,0,0,0,0,0
2572_0_9,0,1,0,0,0,0,0,0
2572_0_10,0,1,0,0,0,0,0,0
2572_0_11,0,1,0,0,0,0,0,0
2572_0_12,0,1,0,0,0,0,0,0
2572_0_13,0,1,0,0,0,0,0,0
2572_0_14,0,1,0,0,0,0,0,0
2572_0_15,0,1,0,0,0,0,0,0
2572_0_16,0,1,0,0,0,0,0,0
2572_0_17,0,1,0,0,0,0,0,0
2572_0_18,0,1,0,0,0,0,0,0
2572_0_19,0,1,0,0,0,0,0,0
2572_0_20,0,1,0,0,0,0,0,0
2572_0_21,0,1,0,0,0,0,0,0
2572_0_22,0,1,0,0,0,0,0,0
2572_0_23,0,1,0,0,0,0,0,0
2572_0_24,0,1,0,0,0,0,0,0
2572_0_25,0,1,0,0,0,0,0,0
