517,-6769.60573248278
582,-7012.9296399933
711,-4883.523898813687
775,-6786.910091825701
392,-7465.361587098976
648,-6764.0943678609965
393,-7027.09752259906
652,-4660.5118830261035
657,-6420.818578778874
724,-7415.451754753895
344,-6787.493531404772
281,-3705.9013341909063
346,-4403.311724602414
602,-4883.523898813687
730,-7236.458428766558
603,-7478.043427018394
605,-4425.306489766095
607,-5799.9860405153395
545,-7012.7546659062455
421,-4165.88997606735
677,-6650.922033966703
299,-3705.9013341909063
747,-7080.963599017342
686,-6767.9686053831665
752,-7306.327157615066
565,-6769.837581464971
631,-6042.429374083451
696,-6766.211792114492
761,-6405.843463245829
639,-6765.909633144951
