graph_id,is_correct,feature_68,feature_90,feature_46,feature_7012,feature_34,feature_37140,feature_326,feature_7006,feature_119,feature_361,feature_158,feature_5174,feature_11944,feature_16446,feature_5159,feature_210,feature_132,feature_1,feature_6229
2353_1_0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
2353_2_0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0
179_0_0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2867_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
436_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
436_1_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
1205_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
438_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
438_1_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
438_2_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
440_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
440_1_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
440_2_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2232_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
441_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
441_1_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
441_2_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
2237_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
3133_0_0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3133_1_0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3133_2_0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3907_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3013_0_0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3013_1_0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3013_2_0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3781_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3781_1_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3782_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3782_1_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3783_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
3783_1_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0
2505_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2505_1_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3785_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
3785_1_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
970_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970_1_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
970_2_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3787_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3787_1_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3660_0_0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2255_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2511_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1873_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3537_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
595_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
596_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
980_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2516_0_0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1
3031_0_0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
1880_0_0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0
1880_1_0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0
1880_2_0,1,1,0,1,1,1,0,0,1,0,0,0,1,1,1,1,0,0,0,0
3672_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2523_0_0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
1246_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1246_1_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2526_0_0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0
3294_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
95_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1380_1_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1510_0_0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
1129_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
112_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2289_0_0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0
3700_0_0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
3189_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
3959_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1273_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1273_1_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
1916_0_0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
2940_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1662_0_0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
2174_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2174_1_0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
2942_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2943_0_0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1858_0_0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0
1858_0_1,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0
1858_0_2,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0
1858_0_3,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,0
3530_0_0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3530_0_1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3530_0_2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3530_0_3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3532_0_0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3532_0_1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3532_0_2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3532_0_3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3534_0_0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3534_0_1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3534_0_2,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3534_0_3,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0
3087_0_0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3087_0_1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3087_0_2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3087_0_3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3087_1_0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3087_1_1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3087_1_2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3087_1_3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3087_2_0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3087_2_1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3087_2_2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3087_2_3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3535_0_0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3535_0_1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3535_0_2,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
3535_0_3,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
2386_0_0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2386_0_1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2386_0_2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2386_0_3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3348_0_0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3348_0_1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3348_0_2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3348_0_3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2390_0_0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2390_0_1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2390_0_2,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
2390_0_3,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3479_0_0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3479_0_1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3479_0_2,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3479_0_3,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3479_1_0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3479_1_1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3479_1_2,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3479_1_3,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3479_2_0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3479_2_1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3479_2_2,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3479_2_3,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3480_0_0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3480_0_1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3480_0_2,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3480_0_3,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3480_1_0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3480_1_1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3480_1_2,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3480_1_3,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3480_2_0,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3480_2_1,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3480_2_2,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
3480_2_3,0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
2593_0_0,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2593_0_1,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2593_0_2,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2593_0_3,0,0,0,1,1,1,0,0,1,0,0,0,1,1,0,1,0,0,0,0
2594_0_0,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0
2594_0_1,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0
2594_0_2,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0
2594_0_3,0,0,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,1,0,0
2215_0_0,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0
2215_0_1,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0
2215_0_2,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0
2215_0_3,0,0,0,1,1,1,1,0,1,0,0,1,1,1,0,1,0,0,0,0
2024_0_0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2024_0_1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2024_0_2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2024_0_3,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2024_1_0,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2024_1_1,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2024_1_2,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2024_1_3,0,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
2216_0_0,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1
2216_0_1,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1
2216_0_2,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1
2216_0_3,0,0,0,1,1,1,1,0,1,1,0,1,1,1,0,1,0,1,0,1
3624_0_0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3624_0_1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
